date,home_team,away_team,League,B365H,B365D,B365A,BWH,BWD,BWA,competition_id
2013-08-09,Bayern Munich,M'gladbach,"Bundesliga, Germany (L1)",1.13,8.5,19.0,1.14,8.25,15.0,L1
2013-08-10,Augsburg,Dortmund,"Bundesliga, Germany (L1)",7.0,4.33,1.44,7.5,4.6,1.4,L1
2013-08-10,Braunschweig,Werder Bremen,"Bundesliga, Germany (L1)",2.7,3.4,2.5,2.7,3.4,2.5,L1
2013-08-10,Hannover,Wolfsburg,"Bundesliga, Germany (L1)",2.6,3.4,2.6,2.65,3.4,2.55,L1
2013-08-10,Hertha,Ein Frankfurt,"Bundesliga, Germany (L1)",2.2,3.4,3.2,2.4,3.3,2.9,L1
2013-08-10,Hoffenheim,Nurnberg,"Bundesliga, Germany (L1)",2.1,3.3,3.5,2.05,3.3,3.6,L1
2013-08-10,Leverkusen,Freiburg,"Bundesliga, Germany (L1)",1.44,4.5,6.5,1.45,4.5,6.5,L1
2013-08-11,Mainz,Stuttgart,"Bundesliga, Germany (L1)",2.4,3.4,2.8,2.4,3.3,2.9,L1
2013-08-11,Schalke 04,Hamburg,"Bundesliga, Germany (L1)",1.44,4.33,7.0,1.44,4.5,6.75,L1
2013-08-17,Ein Frankfurt,Bayern Munich,"Bundesliga, Germany (L1)",10.0,5.25,1.29,9.0,6.25,1.26,L1
2013-08-17,Freiburg,Mainz,"Bundesliga, Germany (L1)",2.25,3.4,3.1,2.3,3.4,3.0,L1
2013-08-17,Hamburg,Hoffenheim,"Bundesliga, Germany (L1)",2.0,3.6,3.5,2.05,3.4,3.5,L1
2013-08-17,M'gladbach,Hannover,"Bundesliga, Germany (L1)",1.83,3.5,4.33,1.83,3.6,4.2,L1
2013-08-17,Stuttgart,Leverkusen,"Bundesliga, Germany (L1)",3.5,3.25,2.1,3.4,3.5,2.05,L1
2013-08-17,Werder Bremen,Augsburg,"Bundesliga, Germany (L1)",1.91,3.5,4.0,1.87,3.5,4.1,L1
2013-08-17,Wolfsburg,Schalke 04,"Bundesliga, Germany (L1)",2.88,3.3,2.4,2.8,3.4,2.4,L1
2013-08-18,Dortmund,Braunschweig,"Bundesliga, Germany (L1)",1.17,7.5,13.0,1.15,7.5,16.0,L1
2013-08-18,Nurnberg,Hertha,"Bundesliga, Germany (L1)",2.3,3.4,3.0,2.35,3.4,2.9,L1
2013-08-23,Dortmund,Werder Bremen,"Bundesliga, Germany (L1)",1.2,6.5,13.0,1.2,6.75,12.0,L1
2013-08-24,Bayern Munich,Nurnberg,"Bundesliga, Germany (L1)",1.1,9.0,26.0,1.1,9.25,21.0,L1
2013-08-24,Hannover,Schalke 04,"Bundesliga, Germany (L1)",2.63,3.4,2.6,2.55,3.5,2.6,L1
2013-08-24,Hertha,Hamburg,"Bundesliga, Germany (L1)",1.91,3.6,3.8,1.85,3.7,3.9,L1
2013-08-24,Hoffenheim,Freiburg,"Bundesliga, Germany (L1)",1.75,3.75,4.5,1.78,3.6,4.4,L1
2013-08-24,Leverkusen,M'gladbach,"Bundesliga, Germany (L1)",1.67,3.8,5.0,1.65,3.9,5.0,L1
2013-08-24,Mainz,Wolfsburg,"Bundesliga, Germany (L1)",2.63,3.4,2.6,2.65,3.5,2.5,L1
