game_id,date,competition_id,season,round,home_club_id,away_club_id,home_club_goals,away_club_goals,stadium,attendance,referee,result,goals_home,assists_home,yellow_cards_home,red_cards_home,goals_away,assists_away,yellow_cards_away,red_cards_away
2321027,2013-08-11,L1,2013,1. Matchday,33.0,41.0,3.0,3.0,Veltins-Arena,61973.0,Manuel Gräfe,Draw,3.0,3.0,1.0,0.0,3.0,2.0,2.0,0.0
2321033,2013-08-10,L1,2013,1. Matchday,23.0,86.0,0.0,1.0,EINTRACHT-Stadion,23000.0,Deniz Aytekin,Away Win,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2321044,2013-08-18,L1,2013,2. Matchday,16.0,23.0,2.0,1.0,SIGNAL IDUNA PARK,80200.0,Peter Sippel,Home Win,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0
2321060,2013-08-25,L1,2013,3. Matchday,23.0,24.0,0.0,2.0,EINTRACHT-Stadion,23325.0,Wolfgang Stark,Away Win,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0
2321072,2013-09-14,L1,2013,5. Matchday,16.0,41.0,6.0,2.0,SIGNAL IDUNA PARK,80645.0,Tobias Welz,Home Win,6.0,5.0,0.0,0.0,2.0,2.0,4.0,0.0
2321079,2013-09-15,L1,2013,5. Matchday,23.0,4.0,1.0,1.0,EINTRACHT-Stadion,22570.0,Marco Fritz,Draw,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0
2321086,2013-09-21,L1,2013,6. Matchday,4.0,16.0,1.0,1.0,Max-Morlock-Stadion,50000.0,Knut Kircher,Draw,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0
2321152,2013-11-02,L1,2013,11. Matchday,44.0,33.0,0.0,2.0,Olympiastadion Berlin,69277.0,Günter Perl,Away Win,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0
2321205,2013-12-21,L1,2013,17. Matchday,41.0,39.0,2.0,3.0,Volksparkstadion,50000.0,Bastian Dankert,Away Win,2.0,2.0,3.0,0.0,3.0,3.0,1.0,0.0
2321233,2014-02-08,L1,2013,20. Matchday,41.0,44.0,0.0,3.0,Volksparkstadion,48593.0,Deniz Aytekin,Away Win,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0
2321307,2014-04-05,L1,2013,29. Matchday,16.0,82.0,2.0,1.0,SIGNAL IDUNA PARK,80645.0,Knut Kircher,Home Win,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0
2321330,2014-04-19,L1,2013,31. Matchday,167.0,44.0,0.0,0.0,WWK ARENA,30059.0,Dr. Jochen Drees,Draw,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
