date,HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA
2013-08-17,Arsenal,Aston Villa,1.44,4.75,8.0,1.36,5.0,7.75
2013-08-17,Liverpool,Stoke,1.4,5.0,9.5,1.4,4.33,8.25
2013-08-17,Norwich,Everton,3.2,3.4,2.4,3.1,3.25,2.3
2013-08-17,Sunderland,Fulham,2.3,3.4,3.4,2.25,3.2,3.25
2013-08-17,Swansea,Man United,4.2,3.5,2.0,4.1,3.5,1.87
2013-08-17,West Brom,Southampton,2.4,3.4,3.2,2.3,3.25,3.1
2013-08-17,West Ham,Cardiff,2.0,3.6,4.0,1.91,3.4,4.0
2013-08-18,Chelsea,Hull,1.2,7.0,21.0,1.19,6.25,15.0
2013-08-18,Crystal Palace,Tottenham,4.75,3.75,1.83,4.75,3.7,1.72
2013-08-19,Man City,Newcastle,1.33,5.5,11.0,1.3,5.25,9.75
2013-08-21,Chelsea,Aston Villa,1.29,5.5,10.0,1.28,5.25,10.0
2013-08-24,Aston Villa,Liverpool,4.0,3.75,1.95,3.8,3.6,1.91
2013-08-24,Everton,West Brom,1.57,4.33,6.5,1.53,4.1,6.0
2013-08-24,Fulham,Arsenal,3.8,3.5,2.1,3.6,3.5,2.0
2013-08-24,Hull,Norwich,2.45,3.4,3.1,2.4,3.25,2.95
2013-08-24,Newcastle,West Ham,2.3,3.4,3.4,2.25,3.2,3.25
2013-08-24,Southampton,Sunderland,1.73,3.8,5.5,1.65,3.8,5.0
2013-08-24,Stoke,Crystal Palace,1.83,3.6,5.0,1.8,3.4,4.6
2013-08-25,Cardiff,Man City,8.5,4.75,1.44,8.25,4.2,1.42
2013-08-25,Tottenham,Swansea,1.62,4.0,6.5,1.57,3.75,6.25
2013-08-26,Man United,Chelsea,2.45,3.4,3.1,2.3,3.4,3.0
2013-08-31,Cardiff,Everton,3.25,3.4,2.38,3.1,3.25,2.3
2013-08-31,Crystal Palace,Sunderland,2.6,3.3,3.0,2.55,3.25,2.75
2013-08-31,Man City,Hull,1.17,8.5,19.0,1.16,7.25,15.5
2013-08-31,Newcastle,Fulham,2.15,3.4,3.75,2.05,3.3,3.6
2013-08-31,Norwich,Southampton,3.0,3.3,2.55,2.85,3.25,2.45
2013-08-31,West Ham,Stoke,2.0,3.4,4.33,1.91,3.5,3.9
2013-09-01,Arsenal,Tottenham,2.1,3.7,3.6,2.0,3.5,3.6
2013-09-01,Liverpool,Man United,2.63,3.4,2.88,2.6,3.3,2.65
2013-09-01,West Brom,Swansea,2.7,3.4,2.8,2.55,3.4,2.65
2013-09-14,Aston Villa,Newcastle,2.15,3.4,3.8,2.1,3.3,3.5
2013-09-14,Everton,Chelsea,3.4,3.3,2.35,3.4,3.4,2.2
2013-09-14,Fulham,West Brom,2.15,3.5,3.6,2.15,3.4,3.6
2013-09-14,Hull,Cardiff,2.45,3.25,3.25,2.4,3.2,3.0
2013-09-14,Man United,Crystal Palace,1.22,7.0,16.0,1.19,6.5,14.0
2013-09-14,Stoke,Man City,6.0,4.0,1.65,5.25,3.9,1.62
2013-09-14,Sunderland,Arsenal,6.0,3.9,1.67,5.75,3.8,1.6
2013-09-14,Tottenham,Norwich,1.45,4.75,8.0,1.42,4.25,8.0
2013-09-15,Southampton,West Ham,1.85,3.6,4.75,1.83,3.7,4.0
2013-09-16,Swansea,Liverpool,3.5,3.5,2.2,3.6,3.4,2.15
2013-09-21,Chelsea,Fulham,1.3,5.75,12.0,1.25,5.5,11.5
2013-09-21,Liverpool,Southampton,1.6,4.0,6.5,1.57,4.0,5.75
2013-09-21,Newcastle,Hull,1.85,3.5,5.0,1.75,3.4,5.0
2013-09-21,Norwich,Aston Villa,2.4,3.4,3.2,2.4,3.3,2.9
2013-09-21,West Brom,Sunderland,2.05,3.4,4.2,1.95,3.4,3.9
2013-09-21,West Ham,Everton,3.3,3.3,2.4,3.0,3.3,2.35
2013-09-22,Arsenal,Stoke,1.36,5.25,10.0,1.35,4.75,8.75
2013-09-22,Cardiff,Tottenham,4.5,3.6,1.91,4.25,3.6,1.8
2013-09-22,Crystal Palace,Swansea,3.5,3.4,2.25,3.1,3.3,2.3
2013-09-22,Man City,Man United,2.2,3.4,3.6,2.1,3.4,3.4
2013-09-28,Aston Villa,Man City,6.5,4.2,1.57,7.0,4.1,1.48
2013-09-28,Fulham,Cardiff,2.1,3.4,3.9,2.0,3.3,3.8
2013-09-28,Hull,West Ham,2.38,3.3,3.3,2.35,3.2,3.1
2013-09-28,Man United,West Brom,1.3,5.75,12.0,1.26,5.75,10.0
2013-09-28,Southampton,Crystal Palace,1.45,4.5,8.5,1.45,4.2,7.25
2013-09-28,Swansea,Arsenal,3.2,3.4,2.38,3.1,3.4,2.25
2013-09-28,Tottenham,Chelsea,2.7,3.3,2.88,2.65,3.3,2.6
2013-09-29,Stoke,Norwich,1.95,3.4,4.5,1.95,3.3,4.0
2013-09-29,Sunderland,Liverpool,5.5,3.9,1.7,5.0,3.8,1.65
2013-09-30,Everton,Newcastle,1.65,4.0,6.0,1.6,3.9,5.5
2013-10-05,Cardiff,Newcastle,2.45,3.4,3.1,2.3,3.4,3.0
2013-10-05,Fulham,Stoke,2.4,3.3,3.3,2.3,3.3,3.1
2013-10-05,Hull,Aston Villa,2.45,3.3,3.2,2.35,3.2,3.1
2013-10-05,Liverpool,Crystal Palace,1.2,7.5,17.0,1.2,6.5,13.0
2013-10-05,Man City,Everton,1.67,4.2,5.5,1.62,4.0,5.0
2013-10-05,Sunderland,Man United,6.0,4.0,1.65,5.5,4.0,1.57
2013-10-06,Norwich,Chelsea,6.5,4.0,1.62,6.0,4.1,1.53
2013-10-06,Southampton,Swansea,2.1,3.5,3.8,2.05,3.4,3.5
2013-10-06,Tottenham,West Ham,1.44,4.75,8.5,1.42,4.4,7.75
2013-10-06,West Brom,Arsenal,4.9,4.0,1.75,4.6,3.8,1.7
2013-10-19,Arsenal,Norwich,1.29,6.0,12.0,1.25,5.5,12.0
2013-10-19,Chelsea,Cardiff,1.25,6.5,15.0,1.23,5.75,13.0
2013-10-19,Everton,Hull,1.45,4.5,9.0,1.42,4.2,8.25
2013-10-19,Man United,Southampton,1.57,4.33,6.5,1.5,4.1,6.5
2013-10-19,Newcastle,Liverpool,4.5,3.9,1.83,4.2,3.75,1.78
2013-10-19,Stoke,West Brom,2.3,3.3,3.5,2.25,3.2,3.25
2013-10-19,Swansea,Sunderland,1.62,4.0,6.5,1.55,3.9,6.0
2013-10-19,West Ham,Man City,5.5,3.8,1.73,5.0,3.8,1.65
2013-10-20,Aston Villa,Tottenham,4.0,3.5,2.05,3.75,3.5,1.95
2013-10-21,Crystal Palace,Fulham,2.75,3.3,2.8,2.65,3.3,2.6
2013-10-26,Aston Villa,Everton,3.4,3.4,2.3,3.4,3.3,2.15
2013-10-26,Crystal Palace,Arsenal,11.0,5.0,1.36,8.5,5.0,1.33
2013-10-26,Liverpool,West Brom,1.44,4.75,8.0,1.36,4.75,8.25
2013-10-26,Man United,Stoke,1.33,5.5,11.0,1.34,5.0,8.5
2013-10-26,Norwich,Cardiff,2.2,3.4,3.6,2.15,3.4,3.3
2013-10-26,Southampton,Fulham,1.62,4.0,6.5,1.57,3.8,6.0
2013-10-27,Chelsea,Man City,2.38,3.4,3.2,2.35,3.3,2.95
2013-10-27,Sunderland,Newcastle,2.9,3.3,2.63,2.65,3.3,2.6
2013-10-27,Swansea,West Ham,1.75,3.8,5.25,1.65,3.8,5.0
2013-10-27,Tottenham,Hull,1.44,4.75,8.0,1.4,4.2,8.75
2013-11-02,Arsenal,Liverpool,2.3,3.5,3.3,2.15,3.4,3.25
2013-11-02,Fulham,Man United,6.5,4.2,1.57,5.75,4.1,1.55
2013-11-02,Hull,Sunderland,2.15,3.4,3.8,2.05,3.3,3.6
2013-11-02,Man City,Norwich,1.2,7.5,18.0,1.17,7.5,13.0
2013-11-02,Newcastle,Chelsea,6.0,4.2,1.62,5.5,4.0,1.57
2013-11-02,Stoke,Southampton,3.3,3.3,2.4,3.2,3.1,2.35
2013-11-02,West Brom,Crystal Palace,1.55,4.2,7.0,1.5,4.2,6.25
2013-11-02,West Ham,Aston Villa,2.25,3.5,3.4,2.15,3.4,3.3
2013-11-03,Cardiff,Swansea,3.4,3.4,2.3,3.1,3.3,2.3
2013-11-03,Everton,Tottenham,2.5,3.4,3.0,2.4,3.3,2.9
2013-11-09,Aston Villa,Cardiff,2.0,3.5,4.2,1.91,3.4,4.0
2013-11-09,Chelsea,West Brom,1.29,6.0,12.0,1.28,5.5,9.75
2013-11-09,Crystal Palace,Everton,6.5,4.0,1.62,6.0,3.8,1.57
2013-11-09,Liverpool,Fulham,1.25,6.5,15.0,1.26,5.5,11.0
2013-11-09,Norwich,West Ham,2.63,3.3,2.9,2.4,3.25,2.95
2013-11-09,Southampton,Hull,1.62,3.8,7.0,1.53,3.9,6.5
2013-11-10,Man United,Arsenal,2.35,3.5,3.2,2.2,3.3,3.25
2013-11-10,Sunderland,Man City,9.0,5.0,1.4,8.25,5.0,1.34
2013-11-10,Swansea,Stoke,2.0,3.4,4.33,1.87,3.3,4.4
2013-11-10,Tottenham,Newcastle,1.57,4.33,6.5,1.5,4.2,6.25
2013-11-23,Arsenal,Southampton,1.62,4.2,6.0,1.57,4.1,5.5
2013-11-23,Everton,Liverpool,3.0,3.4,2.5,2.85,3.25,2.45
2013-11-23,Fulham,Swansea,3.3,3.3,2.38,3.1,3.3,2.25
2013-11-23,Hull,Crystal Palace,1.85,3.5,5.0,1.8,3.3,4.75
2013-11-23,Newcastle,Norwich,1.8,3.8,4.75,1.72,3.7,4.75
2013-11-23,Stoke,Sunderland,2.15,3.3,3.9,2.0,3.3,3.8
2013-11-23,West Ham,Chelsea,6.0,4.2,1.62,5.5,3.7,1.62
2013-11-24,Cardiff,Man United,6.0,4.0,1.65,5.5,3.9,1.6
2013-11-24,Man City,Tottenham,1.7,4.0,5.5,1.62,4.0,5.0
2013-11-25,West Brom,Aston Villa,2.15,3.4,3.8,1.95,3.5,3.75
2013-11-30,Aston Villa,Sunderland,2.0,3.4,4.33,1.95,3.5,3.75
2013-11-30,Cardiff,Arsenal,6.5,4.0,1.62,5.25,4.0,1.6
2013-11-30,Everton,Stoke,1.62,4.0,6.25,1.6,3.7,6.0
2013-11-30,Newcastle,West Brom,2.05,3.5,4.0,2.0,3.5,3.6
2013-11-30,Norwich,Crystal Palace,2.0,3.4,4.33,1.91,3.4,4.1
2013-11-30,West Ham,Fulham,1.91,3.5,4.6,1.87,3.4,4.25
2013-12-01,Chelsea,Southampton,1.57,4.2,6.5,1.53,4.0,6.25
2013-12-01,Hull,Liverpool,6.5,4.0,1.62,5.75,3.8,1.6
2013-12-01,Man City,Swansea,1.29,6.0,13.0,1.25,5.5,11.5
2013-12-01,Tottenham,Man United,2.8,3.5,2.63,2.75,3.3,2.5
2013-12-03,Crystal Palace,West Ham,3.25,3.3,2.4,2.9,3.2,2.4
2013-12-04,Arsenal,Hull,1.2,7.5,17.0,1.18,7.0,12.5
2013-12-04,Fulham,Tottenham,5.8,3.9,1.67,5.0,3.8,1.65
2013-12-04,Liverpool,Norwich,1.29,6.0,12.0,1.22,6.25,11.0
2013-12-04,Man United,Everton,1.73,3.75,5.5,1.7,3.6,5.0
2013-12-04,Southampton,Aston Villa,1.7,3.8,5.75,1.6,3.8,5.5
2013-12-04,Stoke,Cardiff,2.1,3.4,4.0,1.95,3.25,4.0
2013-12-04,Sunderland,Chelsea,6.5,4.33,1.55,6.0,4.2,1.5
2013-12-04,Swansea,Newcastle,2.2,3.5,3.5,2.05,3.5,3.4
